Task,Timestamp, weight, cogX , cogY , bl, br, tl, tr, accX, accY, accZ, falls
3,12.91226,0,0,0,0,0,0,0,-0.8888889,-0.1111111,1.222222,0
3,12.92888,0,0,0,0,0,0,0,-0.8518519,-0.1481481,0.6666667,0
3,12.94539,0,0,0,0,0,0,0,-0.7037037,-0.2962963,0.2962963,0
3,12.96196,0,0,0,0,0,0,0,-0.7037037,-0.2222222,0.1851852,0
3,12.97896,0,0,0,0,0,0,0,-0.5925926,-0.1481481,-0.3333333,0
3,12.99509,0,0,0,0,0,0,0,-0.4444444,-0.2962963,-0.5925926,0
3,13.01165,0,0,0,0,0,0,0,-0.5925926,-1.185185,0.1851852,0
3,13.02886,0,0,0,0,0,0,0,-0.2222222,-1.111111,-0.1481481,0
3,13.04479,0,0,0,0,0,0,0,0,-1.296296,-1.777778,0
3,13.06136,0,0,0,0,0,0,0,0.3333333,-0.6666667,-0.7407407,0
3,13.07792,0,0,0,0,0,0,0,0.2592593,-0.5555556,-0.7037037,0
3,13.09533,0,0,0,0,0,0,0,0.03703704,-0.8148148,-0.7407407,0
3,13.11105,0,0,0,0,0,0,0,-0.5185185,-0.8148148,-0.4074074,0
3,13.12762,0,0,0,0,0,0,0,-0.5925926,-1,-0.1851852,0
3,13.14419,0,0,0,0,0,0,0,-0.7037037,-1.111111,-0.1111111,0
3,13.16076,0,0,0,0,0,0,0,-0.4444444,-1.222222,-0.2592593,0
3,13.17732,0,0,0,0,0,0,0,-0.2962963,-1.148148,-0.2222222,0
3,13.19389,0,0,0,0,0,0,0,-0.2962963,-0.8148148,-0.07407407,0
3,13.21045,0,0,0,0,0,0,0,-0.9259259,-0.6666667,0.03703704,0
3,13.22768,0,0,0,0,0,0,0,-1.148148,-0.6666667,0,0
3,13.24359,0,0,0,0,0,0,0,-1.407407,-0.6666667,-0.03703704,0
3,13.26026,0,0,0,0,0,0,0,-1.37037,-0.7407407,-0.07407407,0
3,13.27682,0,0,0,0,0,0,0,-1.111111,-0.7777778,0.1111111,0
3,13.29337,0,0,0,0,0,0,0,-0.7777778,-0.7037037,0.2592593,0
3,13.30989,0,0,0,0,0,0,0,-0.7777778,-0.7037037,0.2592593,0
3,13.32644,0,0,0,0,0,0,0,-0.8148148,-0.6666667,0.3333333,0
3,13.34301,0,0,0,0,0,0,0,-0.9259259,-0.6666667,0.2592593,0
3,13.35996,0,0,0,0,0,0,0,-0.8518519,-0.6296296,0.2222222,0
3,13.37613,0,0,0,0,0,0,0,-0.6666667,-0.6296296,0.1481481,0
3,13.39312,0,0,0,0,0,0,0,-0.5925926,-0.5925926,0.1851852,0
3,13.40926,0,0,0,0,0,0,0,-0.5555556,-0.5185185,0.2592593,0
3,13.43478,0,0,0,0,0,0,0,-0.6296296,-0.5185185,0.2222222,0
3,13.45135,0,0,0,0,0,0,0,-0.6296296,-0.6666667,0.2592593,0
3,13.46791,0,0,0,0,0,0,0,-0.6296296,-0.6666667,0.2592593,0
3,13.48448,0,0,0,0,0,0,0,-0.5185185,-0.6666667,0.2962963,0
3,13.50105,0,0,0,0,0,0,0,-0.3703704,-0.5185185,0.3703704,0
3,13.51761,0,0,0,0,0,0,0,-0.4444444,-0.2962963,0.5925926,0
3,13.53418,0,0,0,0,0,0,0,-0.5185185,-0.2962963,0.6296296,0
3,13.55075,0,0,0,0,0,0,0,-0.5925926,-0.4074074,0.6296296,0
3,13.56732,0,0,0,0,0,0,0,-0.6666667,-0.4074074,0.6666667,0
3,13.58388,0,0,0,0,0,0,0,-0.6666667,-0.3333333,0.6666667,0
3,13.60065,0,0,0,0,0,0,0,-0.6666667,-0.3333333,0.6296296,0
3,13.61969,0,0,0,0,0,0,0,-0.5555556,-0.3333333,0.5925926,0
